DAG,Half,Type,Combo,CellLength,PlantRep
1,Root,Nongrafted,Root_NonGraftedCells,44.628,4
1,Root,Nongrafted,Root_NonGraftedCells,33,4
1,Root,Nongrafted,Root_NonGraftedCells,43.718,5
1,Root,Nongrafted,Root_NonGraftedCells,48.541,5
1,Root,Nongrafted,Root_NonGraftedCells,35.815,5
1,Root,Nongrafted,Root_NonGraftedCells,30.107,5
1,Root,Nongrafted,Root_NonGraftedCells,28.124,5
1,Root,Nongrafted,Root_NonGraftedCells,27.222,5
1,Root,Nongrafted,Root_NonGraftedCells,24.106,5
1,Root,Nongrafted,Root_NonGraftedCells,23.187,5
1,Root,Nongrafted,Root_NonGraftedCells,36.105,5
1,Root,Nongrafted,Root_NonGraftedCells,34.486,5
1,Scion,Grafted,Scion_GraftedCells,26.915,1
1,Scion,Grafted,Scion_GraftedCells,21.498,1
1,Scion,Grafted,Scion_GraftedCells,24.922,1
1,Scion,Grafted,Scion_GraftedCells,23.691,1
1,Scion,Grafted,Scion_GraftedCells,19.664,1
1,Scion,Grafted,Scion_GraftedCells,30.107,1
1,Scion,Grafted,Scion_GraftedCells,20.865,1
1,Scion,Grafted,Scion_GraftedCells,29.516,1
1,Scion,Grafted,Scion_GraftedCells,37.67,1
1,Scion,Grafted,Scion_GraftedCells,35.414,1
1,Scion,Grafted,Scion_GraftedCells,31.189,2
1,Scion,Grafted,Scion_GraftedCells,27.318,2
1,Scion,Grafted,Scion_GraftedCells,24.962,2
1,Scion,Grafted,Scion_GraftedCells,33.885,2
1,Scion,Grafted,Scion_GraftedCells,17.031,2
1,Scion,Grafted,Scion_GraftedCells,33.894,2
1,Scion,Grafted,Scion_GraftedCells,24.962,2
1,Scion,Grafted,Scion_GraftedCells,29.469,2
1,Scion,Grafted,Scion_GraftedCells,40.196,2
1,Scion,Grafted,Scion_GraftedCells,29.654,2
1,Scion,Grafted,Scion_GraftedCells,28.366,3
1,Scion,Grafted,Scion_GraftedCells,22.864,3
1,Scion,Grafted,Scion_GraftedCells,27.522,3
1,Scion,Grafted,Scion_GraftedCells,25.846,3
1,Scion,Grafted,Scion_GraftedCells,34.705,3
1,Scion,Grafted,Scion_GraftedCells,25.808,3
1,Scion,Grafted,Scion_GraftedCells,20.341,3
1,Scion,Grafted,Scion_GraftedCells,28.331,3
1,Scion,Grafted,Scion_GraftedCells,23.037,3
1,Scion,Grafted,Scion_GraftedCells,23.774,3
1,Scion,Grafted,Scion_GraftedCells,24.601,4
1,Scion,Grafted,Scion_GraftedCells,26.454,4
1,Scion,Grafted,Scion_GraftedCells,14.867,4
1,Scion,Grafted,Scion_GraftedCells,26.864,4
1,Scion,Grafted,Scion_GraftedCells,25.263,4
1,Scion,Grafted,Scion_GraftedCells,31.909,4
1,Scion,Grafted,Scion_GraftedCells,37.903,4
1,Scion,Grafted,Scion_GraftedCells,34.019,4
1,Scion,Grafted,Scion_GraftedCells,25.629,4
1,Scion,Grafted,Scion_GraftedCells,34.447,4
1,Scion,Grafted,Scion_GraftedCells,28.41,5
1,Scion,Grafted,Scion_GraftedCells,24.173,5
1,Scion,Grafted,Scion_GraftedCells,22.924,5
1,Scion,Grafted,Scion_GraftedCells,21.307,5
